Location,Rural/Urban,School Category,School Management,School Type,Total No. of Schools,Separate Room for Headmaster,Land Available,Electricity,Functional Electricity,Solar Panel,Playground,Library or Reading Corner or Book Bank,Librarian,Newspaper,Kitchen Garden,Furniture,Boy's Toilet,Functional Boy's Toilet,Girl's Toilet,Functional Girl's Toilet,Toilet Facility,Functional Toilet Facility,Functional Urinal Boy's,Functional Urinal Girl's,Functional Urinal,Functional Toilet and Urinal,Drinking Water,Functional Drinking Water,Water Purifier,Rain Water Harvesting,Water Tested,Handwash,Incinerator,"WASH Facility(Drinking Water, Toilet and Handwash)",Ramps,Hand-Rails,Medical Checkup,Complete Medical Checkup,Internet,Computer Available,ML_Recommendations,Functional Girl's Toilet Score,Internet Score,Handwash Score,Playground Score,Library or Reading Corner or Book Bank Score,Incinerator Score,Functional Drinking Water Score,Total Infrastructure Score
Andaman & Nicobar Islands,Rural,HSS (I-XII),Department of Education,Co-Ed,21,21,18,21,21,1,21,21,14,12,15,21,21,21,21,21,21,21,21,17,21,21,21,21,15,9,14,21,17,21,16,8,18,18,18,21,No immediate actions needed as all infrastructure indicators are adequate.,100,86,100,100,100,81,100,95.28571428571429
Andaman & Nicobar Islands,Rural,HSS (IX-XII),Department of Education,Co-Ed,3,2,3,3,3,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,3,3,3,1,0,2,2,3,3,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,100,100,100.0
Andaman & Nicobar Islands,Rural, HSS (VI-XII),Department of Education,Co-Ed,14,12,14,14,14,2,14,14,9,5,11,14,14,14,14,14,14,14,13,10,14,14,14,14,12,4,7,14,9,14,13,10,12,12,14,14,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,64,100,94.85714285714286
Andaman & Nicobar Islands,Rural,PS (I-V) ,Department of Education,Co-Ed,175,103,144,145,145,4,168,174,1,7,98,167,174,173,175,175,175,175,118,77,121,121,175,175,120,26,47,175,0,174,109,55,118,102,5,42,Enhance internet connectivity in schools.; Install incinerators in schools to ensure safe waste disposal.,100,3,100,96,99,0,100,71.14285714285714
Andaman & Nicobar Islands,Rural, SS (I-X) ,Department of Education,Co-Ed,34,32,33,34,34,1,33,34,23,12,24,33,34,34,34,34,34,34,33,25,33,33,34,34,21,9,14,34,27,33,27,16,32,30,27,34,No immediate actions needed as all infrastructure indicators are adequate.,100,79,100,97,100,79,100,93.57142857142857
Andaman & Nicobar Islands,Rural,SS (VI-X),Department of Education,Co-Ed,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,Install incinerators in schools to ensure safe waste disposal.,100,100,100,100,100,0,100,85.71428571428571
Andaman & Nicobar Islands,Rural,UPS (I-VIII) ,Department of Education,Co-Ed,51,37,47,51,51,1,48,51,12,6,24,50,51,51,51,50,51,51,40,32,41,41,51,51,34,15,9,51,6,50,43,24,31,27,34,51,Install incinerators in schools to ensure safe waste disposal.,98,67,100,94,100,12,100,81.57142857142857
Andaman & Nicobar Islands,Rural,HSS (I-XII),Government Aided,Co-Ed,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,Install incinerators in schools to ensure safe waste disposal.,100,100,100,100,100,0,100,85.71428571428571
Andaman & Nicobar Islands,Rural, HSS (VI-XII),Jawahar Navodaya Vidyalaya ,Co-Ed,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,100,100,100.0
Andaman & Nicobar Islands,Rural,SS (VI-X),Jawahar Navodaya Vidyalaya ,Co-Ed,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1,2,2,1,2,No immediate actions needed as all infrastructure indicators are adequate.,100,50,100,100,100,100,100,92.85714285714286
Andaman & Nicobar Islands,Rural,HSS (I-XII),Local body,Co-Ed,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,2,0,2,0,0,1,1,1,2,Install incinerators in schools to ensure safe waste disposal.,100,50,100,100,100,0,100,78.57142857142857
Andaman & Nicobar Islands,Rural,PS (I-V) ,Local body,Co-Ed,2,1,2,2,2,0,2,2,0,1,0,2,2,2,2,2,2,2,2,0,2,2,2,2,1,0,2,2,0,2,0,0,0,0,0,2,Enhance internet connectivity in schools.; Install incinerators in schools to ensure safe waste disposal.,100,0,100,100,100,0,100,71.42857142857143
Andaman & Nicobar Islands,Rural, SS (I-X) ,Local body,Co-Ed,3,3,3,3,3,0,3,3,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,3,1,3,0,0,0,0,3,3,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,33,100,90.42857142857143
Andaman & Nicobar Islands,Rural,HSS (I-XII),Private Unaided (Recognized),Co-Ed,4,4,4,4,4,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,1,4,2,1,3,2,4,4,Install incinerators in schools to ensure safe waste disposal.,100,100,100,100,100,25,100,89.28571428571429
Andaman & Nicobar Islands,Rural,PS (I-V) ,Private Unaided (Recognized),Co-Ed,24,22,18,24,24,2,23,23,6,18,5,23,24,24,24,24,24,24,21,16,21,21,24,24,18,5,14,24,0,24,8,4,12,8,11,22,Install incinerators in schools to ensure safe waste disposal.,100,46,100,96,96,0,100,76.85714285714286
Andaman & Nicobar Islands,Rural, SS (I-X) ,Private Unaided (Recognized),Co-Ed,5,5,5,5,5,0,5,5,5,5,1,5,5,5,5,5,5,5,4,3,4,4,5,5,5,1,4,5,1,5,2,2,4,2,5,5,Install incinerators in schools to ensure safe waste disposal.,100,100,100,100,100,20,100,88.57142857142857
Andaman & Nicobar Islands,Rural,UPS (I-VIII) ,Private Unaided (Recognized),Co-Ed,14,14,11,14,14,1,13,14,2,13,3,13,14,14,14,14,14,14,13,12,13,13,14,14,13,3,8,14,7,14,6,3,8,6,14,14,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,93,100,50,100,91.85714285714286
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Boys,5,5,5,5,5,2,5,5,4,5,5,5,5,5,0,0,5,5,3,0,3,3,5,5,4,2,5,5,1,5,2,2,5,5,5,5,Increase the number of functional girls' toilets.; Install incinerators in schools to ensure safe waste disposal.,0,100,100,100,100,20,100,74.28571428571429
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Girls,77,70,70,77,77,29,73,77,15,68,71,77,0,0,77,77,77,77,0,68,68,68,77,77,71,41,74,77,62,75,52,41,76,76,51,74,No immediate actions needed as all infrastructure indicators are adequate.,100,66,100,95,100,81,100,91.71428571428571
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Co-Ed,3,2,3,3,3,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,2,2,3,3,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,100,100,100.0
Andhra Pradesh,Rural, HSS (VI-XII),Department of Education,Girls,130,121,102,130,129,42,122,130,20,119,104,130,0,0,130,130,130,130,0,113,113,113,130,130,117,51,130,130,112,130,88,69,129,126,84,127,No immediate actions needed as all infrastructure indicators are adequate.,100,65,100,94,100,86,100,92.14285714285714
Andhra Pradesh,Rural, HSS (VI-XII),Department of Education,Co-Ed,146,143,139,146,146,33,139,146,84,134,63,146,144,144,146,146,146,146,144,91,144,144,146,146,123,71,139,146,113,146,111,77,138,136,123,146,No immediate actions needed as all infrastructure indicators are adequate.,100,84,100,95,100,77,100,93.71428571428571
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Boys,8,7,7,8,8,1,7,8,6,8,5,8,8,8,0,0,8,8,7,0,7,7,8,8,4,4,7,8,0,7,2,0,8,7,8,8,Increase the number of functional girls' toilets.; Install incinerators in schools to ensure safe waste disposal.,0,100,100,88,100,0,100,69.71428571428571
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Girls,12,9,8,12,12,1,11,9,4,11,2,12,0,0,12,12,12,12,0,11,11,11,12,12,5,4,7,12,3,12,5,3,11,11,11,11,Install incinerators in schools to ensure safe waste disposal.,100,92,100,92,75,25,100,83.42857142857143
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Co-Ed,321,244,278,319,313,9,284,299,126,207,17,321,252,240,313,310,315,312,212,267,283,282,320,318,64,79,92,276,72,269,142,70,215,181,276,295,Install incinerators in schools to ensure safe waste disposal.,97,86,86,88,93,22,99,81.57142857142857
Andhra Pradesh,Rural,PS (I-V) ,Department of Education,Co-Ed,254,21,168,247,240,17,211,251,20,80,122,254,218,212,250,243,251,247,156,173,184,183,254,247,64,74,123,250,0,243,119,61,241,231,77,32,Install incinerators in schools to ensure safe waste disposal.,96,30,98,83,99,0,97,71.85714285714286
Andhra Pradesh,Rural, SS (I-X) ,Department of Education,Boys,46,43,27,46,46,6,43,45,14,42,24,46,46,46,0,0,46,46,40,0,40,40,46,45,31,14,38,46,3,45,18,15,44,40,42,43,Increase the number of functional girls' toilets.; Install incinerators in schools to ensure safe waste disposal.,0,91,100,93,98,7,98,69.57142857142857
Andhra Pradesh,Rural, SS (I-X) ,Department of Education,Girls,36,33,22,36,36,4,34,35,5,35,19,36,0,0,36,35,36,35,0,27,27,27,36,36,22,12,31,35,16,34,12,8,36,34,36,35,No immediate actions needed as all infrastructure indicators are adequate.,97,100,97,94,97,44,100,89.85714285714286
Andhra Pradesh,Rural, SS (I-X) ,Department of Education,Co-Ed,4,4,4,4,4,0,4,4,0,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,1,4,2,0,4,4,3,4,Install incinerators in schools to ensure safe waste disposal.,100,75,100,100,100,25,100,85.71428571428571
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Boys,6,5,5,6,6,0,6,6,1,5,2,6,6,6,0,0,6,6,6,0,6,6,6,5,6,4,6,6,0,6,5,4,5,4,5,5,Increase the number of functional girls' toilets.; Install incinerators in schools to ensure safe waste disposal.,0,83,100,100,100,0,83,66.57142857142857
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Girls,124,114,104,124,124,54,110,121,17,104,91,124,0,0,124,124,124,124,0,108,108,108,124,122,106,55,119,123,100,123,94,70,122,121,68,119,No immediate actions needed as all infrastructure indicators are adequate.,100,55,99,89,98,81,98,88.57142857142857
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Co-Ed,135,113,118,134,133,21,126,135,11,91,43,135,127,125,128,128,133,133,120,118,129,129,135,135,66,57,91,131,69,130,113,79,122,121,83,130,No immediate actions needed as all infrastructure indicators are adequate.,95,61,97,93,100,51,100,85.28571428571429
Andhra Pradesh,Rural,UPS (I-VIII) ,Department of Education,Boys,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,Increase the number of functional girls' toilets.; Install incinerators in schools to ensure safe waste disposal.,0,100,100,100,100,0,100,71.42857142857143
Andhra Pradesh,Rural,UPS (I-VIII) ,Department of Education,Co-Ed,44,7,30,44,44,5,35,40,2,13,29,44,44,42,44,42,44,42,37,36,37,37,44,44,28,22,36,42,23,42,27,21,41,40,15,10,No immediate actions needed as all infrastructure indicators are adequate.,95,34,95,80,91,52,100,78.14285714285714
Andhra Pradesh,Rural, HSS (VI-XII),Government Aided,Co-Ed,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,Enhance internet connectivity in schools.; Install incinerators in schools to ensure safe waste disposal.,100,0,100,100,100,0,100,71.42857142857143
Andhra Pradesh,Rural,HSS (XI-XII),Government Aided,Girls,5,5,4,5,5,2,5,5,3,4,3,5,0,0,5,5,5,5,0,3,3,3,5,5,5,2,5,5,3,5,3,2,4,3,5,5,No immediate actions needed as all infrastructure indicators are adequate.,100,100,100,100,100,60,100,94.28571428571429
Andhra Pradesh,Rural,HSS (XI-XII),Government Aided,Co-Ed,46,46,40,46,46,6,43,46,25,44,6,46,46,46,46,46,46,46,41,42,42,42,46,46,23,21,23,44,24,44,14,9,36,31,44,45,No immediate actions needed as all infrastructure indicators are adequate.,100,96,96,93,100,52,100,91.0
Andhra Pradesh,Rural,PS (I-V) ,Government Aided,Co-Ed,600,114,299,570,554,24,466,567,38,117,187,600,378,366,553,539,562,549,301,402,409,406,599,591,67,178,191,584,0,533,166,99,554,536,243,54,Install incinerators in schools to ensure safe waste disposal.,90,40,97,78,94,0,98,71.0
